run_id,created_at_utc,literature_file,registry_id,registry_type,status,source,query_value,query_type,match_count,saved_count,failure_count,result_csv,manifest_path,formats,message
,2026-06-11T09:50:17.989490+00:00,11 Anjum 2017.pdf,not found,not_found,not_found,,not found,,0,0,0,,,csv,No registry ID was found for this literature item.
,2026-06-11T09:50:17.989761+00:00,11 Arezzo 2021.pdf,NCT04438655,nct,pending_source_integration,clinicaltrials_gov_pending,NCT04438655,,0,0,0,,,csv,NCT fetching will be integrated with the external implementation later; this placeholder keeps the adapter boundary stable.
,2026-06-11T09:50:17.989813+00:00,11 Hata 2016.pdf,NCT00508690,nct,pending_source_integration,clinicaltrials_gov_pending,NCT00508690,,0,0,0,,,csv,NCT fetching will be integrated with the external implementation later; this placeholder keeps the adapter boundary stable.
,2026-06-11T09:50:17.989848+00:00,11 Horie 2007.pdf,not found,not_found,not_found,,not found,,0,0,0,,,csv,No registry ID was found for this literature item.
11_ikeda_2016_umin000019339,2026-06-11T09:50:20.273014+00:00,11 Ikeda 2016.pdf,UMIN000019339,umin,saved,umin_ctr,UMIN000019339,umin_id,1,1,0,/Users/badc0de/Documents/数据获取/outputs_id_only/11_ikeda_2016_umin000019339/11_ikeda_2016_umin000019339.csv,/Users/badc0de/Documents/数据获取/outputs_id_only/11_ikeda_2016_umin000019339/manifest.json,csv,
,2026-06-11T09:50:20.273297+00:00,11 Kobayashi 2007.pdf,not found,not_found,not_found,,not found,,0,0,0,,,csv,No registry ID was found for this literature item.
,2026-06-11T09:50:20.273359+00:00,11 Oshima 2013.pdf,not found,not_found,not_found,,not found,,0,0,0,,,csv,No registry ID was found for this literature item.
,2026-06-11T09:50:20.273408+00:00,11 Papp 2021.pdf,NCT03856671,nct,pending_source_integration,clinicaltrials_gov_pending,NCT03856671,,0,0,0,,,csv,NCT fetching will be integrated with the external implementation later; this placeholder keeps the adapter boundary stable.
,2026-06-11T09:50:20.273460+00:00,11 Rybakov 2021.pdf,NCT03436719,nct,pending_source_integration,clinicaltrials_gov_pending,NCT03436719,,0,0,0,,,csv,NCT fetching will be integrated with the external implementation later; this placeholder keeps the adapter boundary stable.
11_sadahiro_2014_umin000003435,2026-06-11T09:50:23.381832+00:00,11 Sadahiro 2014.pdf,UMIN000003435,umin,saved,umin_ctr,UMIN000003435,umin_id,1,1,0,/Users/badc0de/Documents/数据获取/outputs_id_only/11_sadahiro_2014_umin000003435/11_sadahiro_2014_umin000003435.csv,/Users/badc0de/Documents/数据获取/outputs_id_only/11_sadahiro_2014_umin000003435/manifest.json,csv,
11_uchino_2019_umin000013369,2026-06-11T09:50:26.013744+00:00,11 Uchino 2019.pdf,UMIN000013369,umin,saved,umin_ctr,UMIN000013369,umin_id,1,1,0,/Users/badc0de/Documents/数据获取/outputs_id_only/11_uchino_2019_umin000013369/11_uchino_2019_umin000013369.csv,/Users/badc0de/Documents/数据获取/outputs_id_only/11_uchino_2019_umin000013369/manifest.json,csv,
